ID;SALIS;MIESTAS;TIKSLAS;DATALAIKAS;RENGINYS;DATA_NUO;DATA_IKI;INFORMACIJA;PATVIRTINTA;VARDAS;PAVARDE;PAREIGOS;ISTAIGA
401;Šveicarija;Ciurichas;Paroda/Festivalis;2009-05-04;"Dalyvauti tarptautinėje turizmo parodoje";2007-01-25;2007-01-28;;1;Alekandras;Fiodorovas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
401;Šveicarija;Ciurichas;Paroda/Festivalis;2009-05-04;"Dalyvauti tarptautinėje turizmo parodoje";2007-01-25;2007-01-28;;1;Aurelijus;Ušeckas;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
402;Slovėnija;Liublijana;"Dvišalis bendradarbiavimas";2007-05-31;"Dalyvauti tarptautinėje konferencijoje";2007-03-21;2007-03-26;;1;Aleksandras;Fiodorovas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
406;Ispanija;Madridas;;2007-05-31;"Dalyvauti Ekonominio bendradarbiavimo tarptautinėje konferencijoje";2007-03-28;2007-03-31;;1;Edmundas;Jakubauskas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
407;;;"Dvišalis bendradarbiavimas";2007-05-31;"Aptarti tolimensio bendradarbiavimo";2007-03-21;2007-03-28;;1;Jevgenijus;Galiautdinovas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
408;;;"Dvišalis bendradarbiavimas";2007-05-31;"Dalyvauti  pasitarime dėl rusų centro įkūrimo Vilniuje";2007-03-27;2007-04-01;;1;Olga;Gorškova;"Tarybos narė";"Vilniaus miesto savivaldybės taryba"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Algimantas;Vakarinas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Linas;Naujokaitis;Direktorius;"Miesto plėtros departamentas"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Bardauskienė;Dalia;"mero patarėja";sekretoriatas
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Raimonda;Rudukienė;"Skyriaus vedėjas";"Žemės duomenų administravimo skyrius"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Linas;Krūgelis;Studentas;nežinomas
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Vitas;Mačiulis;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Jurijus;Čekurišvili;"vyr. specialistas";"Ekonomikos departamento Ekonominės plėtros skyrius"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Jūratė;Pazikaitė;"Vyriausiasis specialistas";"Užimtumo poskyris"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Statulevičius;Mindaugas;"Skyriaus vedėjas";"Ekonomikos departamento Ekonominės plėtros skyrius"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Justinas;Kulakauskas;Direktorius;"SĮ „Vilniaus planas&quot;"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Ala;Gilevskaja;"Poskyrio vedėjas";"Salygų ir projektų derinimo poskyris"
409;Prancūzija;Kanai;Paroda/Festivalis;2007-05-31;"Dalyvauti nekilnojamojo turto parodoje MIPIM 2007";2007-03-12;2007-03-17;;1;Rūta;Matonienė;Vedėjas;"Investicinių projektų skyrius"
421;;;"Dvišalis bendradarbiavimas";2007-05-31;"Aptarti su projekto  „Vilniaus namai“ įgyvendinimu susijusius klausimus";2007-03-13;2007-03-16;;1;Evelina;Aleksejenko;"Vyriausioji specialistė";"Mero pavaduotojai"
421;;;"Dvišalis bendradarbiavimas";2007-05-31;"Aptarti su projekto  „Vilniaus namai“ įgyvendinimu susijusius klausimus";2007-03-13;2007-03-16;;1;Gediminas;Paviržis;"Mero pavaduotojas";"Mero pavaduotojai"
422;;;"Dvišalis bendradarbiavimas";2007-05-31;"Koordinuoti žurnalistų vizito";2007-04-10;2007-04-13;;1;Justinas;Vanagas;"Mero patarėjas";Sekretoriatas
422;;;"Dvišalis bendradarbiavimas";2007-05-31;"Koordinuoti žurnalistų vizito";2007-04-10;2007-04-13;;1;Rūta;Diržanauskaitė;Vedėja;"Viešųjų ryšių tarnyba"
423;Ispanija;Madridas;;2007-05-31;"Dalyvauti tarptautinėje konferencijoje";2007-03-28;2007-03-31;;1;Birutė;Varnienė;"Mero padėjėja";Sekretoriatas
424;Belgija;Briuselis;"Dvišalis bendradarbiavimas";2009-05-04;"Dalyvauti Europos regionų komiteto renginyje";2007-02-14;2007-02-15;;1;Rūta;Vainienė;"Mero patarėja";"Mero patarėjai"
441;JAV;Niujorkas;Kita;2007-05-31;"Aptarti J. Meko ekspozicijos atvežimo klausimus";2007-04-29;2007-05-04;;1;Artūras;Zuokas;"Tarybos narys";"Vilniaus miesto savivaldybės taryba"
444;Belgija;Briuselis;;2009-05-04;"Dalyvauti ES Regionų komiteto darbiniame susitikime";2007-01-11;2007-01-13;;1;Laura;Bogušienė;"Poskyrio vedėjas";"Projektų rengimo poskyris"
445;"Jungtinė Karalystė";Shropshiras;"Dvišalis bendradarbiavimas";2007-05-31;"Dalyvauti programos TAIEX kursuose.";2007-04-29;2007-05-05;;1;Violeta;Ivinskienė;"Vyriausioji specialistė";"Aplinkos apsaugos skyrius"
461;Portugalija;"Da Marinha Seixala";Projektas;2007-06-01;"Dalyvauti projekto dalyvių susitikime";2007-02-26;2007-03-03;;1;Alvyra;Galkienė;Direktorė;"„Versmės“ vidurinės mokykla"
462;Lenkija;Javoržinas;Projektas;2007-06-01;"Dalyvauti fondo „Socrates“ projekto dalyvių susitikime";2007-04-14;2007-04-20;;1;Gertrūda;Knyvienė;Direktorė;"S. Daukanto vidurinė mokykla"
463;Latvija;Ryga;;2007-06-01;"Dalyvauti projekto „Baltmet“ dalyvių susitikime";2007-02-19;2007-02-21;;1;Veronika;Jaruševičiūtė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
463;Latvija;Ryga;;2007-06-01;"Dalyvauti projekto „Baltmet“ dalyvių susitikime";2007-02-19;2007-02-21;;1;Algimantas;Šventickas;Direktorius;"Kultūros, švietimo ir sporto departamentas"
464;Prancūzija;Nantes;;2007-06-01;"Dalyvauti EUROCITIES kultūros forume";2007-03-06;2007-03-11;;1;Veronika;Jaruševičiūtė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
464;Prancūzija;Nantes;;2007-06-01;"Dalyvauti EUROCITIES kultūros forume";2007-03-06;2007-03-11;;1;Algimantas;Šventickas;Direktorius;"Kultūros, švietimo ir sporto departamentas"
465;Lenkija;Varšuva;;2007-06-01;"Dalyvauti projekto „baltmet“ dalyvių susitikime";2007-04-25;2007-04-28;;1;Nijolė;Jovaišienė;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
465;Lenkija;Varšuva;;2007-06-01;"Dalyvauti projekto „baltmet“ dalyvių susitikime";2007-04-25;2007-04-28;;1;Veronika;Jaruševičiūtė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
465;Lenkija;Varšuva;;2007-06-01;"Dalyvauti projekto „baltmet“ dalyvių susitikime";2007-04-25;2007-04-28;;1;Vaida;Sikorskaitė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
465;Lenkija;Varšuva;;2007-06-01;"Dalyvauti projekto „baltmet“ dalyvių susitikime";2007-04-25;2007-04-28;;1;"Vytautas ";Toleikis;"Skyriaus vedėjas";"Kultūros ir meno skyrius"
481;Suomija;Helsinkis;"Dvišalis bendradarbiavimas";2007-06-01;"Dalyvauiti projekto „baltmet“ dalyvių susitikime";2007-03-05;2007-03-16;;1;"Vytautas ";Toleikis;"Skyriaus vedėjas";"Kultūros ir meno skyrius"
482;Olandija;Alkmara;Projektas;2007-06-01;"Dalyvauti baigiamojoje projekto „Comenius 1.1“ dalyvių susitikime";2007-05-09;2007-05-11;;1;Genovaitė;Petrauskienė;Direktorė;"J. Laužiko bendrojo lavinimo mokykla"
483;Latvija;Ryga;Projektas;2007-06-01;"Dalyvauti INTERREG projekto dalyvių susitikime";2007-03-29;2007-03-30;;1;Vaida;Sikorskaitė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
483;Latvija;Ryga;Projektas;2007-06-01;"Dalyvauti INTERREG projekto dalyvių susitikime";2007-03-29;2007-03-30;;1;Violeta;Kolonaitienė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Česlovas;Šukaitis;Žurnalistas;Žurnalistas
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Dvojeglazovas;Aleksandras;Žurnalistas;Žurnalistas
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Rasa;Pangonytė;Žurnalistė;Žurnalistė
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Eglė;Digrytė;Žurnalistė;Žurnalistė
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Agnė;Buckutė;Žurnalistė;Žurnalistė
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Vladimiras;Fargerovas;Žurnalistas;Žurnalistas
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Aldona;Armalė;Žurnalistė;Žurnalistė
484;;;Kita;2007-06-01;"Parengti reportažus apoe projektą &bdquo;Susitikimai 2007 vilnius – Sankt Peterburgas&ldquo;";2007-04-10;2007-04-12;;1;Elena;Jurkevičienė;Žurnalistė;Žurnalistė
485;Lenkija;Varšuva;;2009-05-04;"Dalyvauti EUROCITIES narių susitikime";2007-01-25;0207-01-27;;1;Diana;Paliukėnienė;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
501;Lenkija;Varšuva;Projektas;2007-06-04;"Dalyvauti projekto „baltmet“ dalyvių susitikime";2007-03-19;2007-04-06;;1;Aušra;Kiškūnienė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
502;Latvija;Ryga;"Dvišalis bendradarbiavimas";2009-05-04;"Dalyvauti „Baltment“ kultūros mainų programoje";2007-02-06;2007-02-27;;1;Giedrė;Rudminienė;"Vyriausiasis specialistas";"Kultūros ir meno skyrius"
